timestamp,location,serial,power,cadence,front,rear
2023-04-28T19:46:57.329620,crank,52853,172.8,90.7,40,8
2023-04-28T19:46:57.591706,wheel,19005,175.5,88.0,40,8
2023-04-28T19:46:57.828659,crank,52853,168.6,90.1,40,8
2023-04-28T19:46:58.091276,wheel,19005,173.0,88.0,40,8
2023-04-28T19:46:58.577859,crank,52853,173.3,89.3,40,8
2023-04-28T19:46:58.590573,wheel,19005,176.6,88.0,40,8
2023-04-28T19:46:59.326988,crank,52853,186.6,89.5,40,8
2023-04-28T19:46:59.339707,wheel,19005,172.6,88.0,40,8
2023-04-28T19:47:00.088885,wheel,19005,181.9,88.0,40,8
2023-04-28T19:47:00.588020,wheel,19005,189.4,88.0,40,8
2023-04-28T19:47:00.825508,crank,52853,193.0,89.2,40,8
2023-04-28T19:47:01.087415,wheel,19005,177.2,88.0,40,8
2023-04-28T19:47:01.574077,crank,52853,192.2,90.1,40,8
2023-04-28T19:47:01.836467,wheel,19005,178.0,88.0,40,8
2023-04-28T19:47:02.323186,crank,52853,219.7,88.3,40,8
2023-04-28T19:47:02.572878,crank,52853,219.1,91.0,40,8
2023-04-28T19:47:02.585567,wheel,19005,205.0,88.0,40,8
2023-04-28T19:47:03.084933,wheel,19005,203.6,87.0,40,8
2023-04-28T19:47:03.584568,wheel,19005,203.0,87.0,40,8
2023-04-28T19:47:03.821343,crank,52853,195.0,90.2,40,8
2023-04-28T19:47:04.071111,crank,52853,193.8,90.0,40,8
2023-04-28T19:47:04.333423,wheel,19005,187.8,88.0,40,8
2023-04-28T19:47:04.570491,crank,52853,187.5,89.1,40,8
2023-04-28T19:47:05.082524,wheel,19005,181.5,88.0,40,8
2023-04-28T19:47:05.319573,crank,52853,179.2,89.6,40,8
2023-04-28T19:47:05.582041,wheel,19005,164.0,88.0,40,8
2023-04-28T19:47:06.068878,crank,52853,176.9,87.8,40,8
2023-04-28T19:47:06.081328,wheel,19005,158.5,87.0,40,8
2023-04-28T19:47:06.568051,crank,52853,182.8,89.4,40,8
2023-04-28T19:53:55.079857,wheel,19005,183.5,89.0,54,4
2023-04-28T19:53:55.579048,wheel,19005,193.4,89.0,54,4
2023-04-28T19:53:55.814819,crank,52853,219.4,91.1,54,4
2023-04-28T19:53:56.078434,wheel,19005,192.2,90.0,54,4
2023-04-28T19:53:56.813595,crank,52853,221.8,91.4,54,4
2023-04-28T19:53:57.077288,wheel,19005,196.7,91.0,54,4
2023-04-28T19:53:57.313032,crank,52853,217.5,93.0,54,4
2023-04-28T19:53:57.562729,crank,52853,191.8,92.9,54,4
2023-04-28T19:53:57.576602,wheel,19005,186.7,91.0,54,4
2023-04-28T19:53:58.075992,wheel,19005,181.0,91.0,54,4
2023-04-28T19:53:58.311812,crank,52853,182.9,91.0,54,4
2023-04-28T19:53:58.575601,wheel,19005,177.3,91.0,54,4
2023-04-28T19:53:59.060999,crank,52853,184.7,91.2,54,4
2023-04-28T19:53:59.560308,crank,52853,182.8,91.4,54,4
2023-04-28T19:53:59.574167,wheel,19005,172.2,90.0,54,4
2023-04-28T19:54:00.073779,wheel,19005,171.8,90.0,54,4
2023-04-28T19:54:00.309452,crank,52853,179.0,90.4,54,4
2023-04-28T19:54:00.822922,wheel,19005,171.9,90.0,54,4
2023-04-28T19:54:01.072322,wheel,19005,171.9,90.0,54,4
2023-04-28T19:54:01.308234,crank,52853,184.7,90.8,54,4
2023-04-28T19:54:02.057555,crank,52853,186.0,91.0,54,4
2023-04-28T19:54:02.556674,crank,52853,173.9,90.5,54,4
2023-04-28T19:54:02.570474,wheel,19005,171.6,90.0,54,4
2023-04-28T19:54:03.069856,wheel,19005,169.9,89.0,54,4
2023-04-28T19:54:03.305877,crank,52853,176.1,89.4,54,4
2023-04-28T19:54:03.555697,crank,52853,188.8,90.2,54,4
2023-04-28T19:54:03.569331,wheel,19005,170.0,89.0,54,4
2023-04-28T19:54:04.068631,wheel,19005,169.9,88.0,54,4
2023-04-28T19:54:04.554326,crank,52853,188.3,89.9,54,4
2023-04-28T19:54:05.053927,crank,52853,187.5,90.0,54,4
2023-04-28T19:54:05.067460,wheel,19005,169.8,89.0,54,4
2023-04-28T19:54:05.566811,wheel,19005,170.2,89.0,54,4
2023-04-28T19:54:05.803063,crank,52853,194.6,90.0,54,4
2023-04-28T19:54:06.315906,wheel,19005,170.2,89.0,54,4
2023-04-28T19:54:06.565713,wheel,19005,169.9,89.0,54,4
2023-04-28T19:54:06.801620,crank,52853,195.0,91.0,54,4
2023-04-28T19:54:07.301472,crank,52853,191.6,89.4,54,4
2023-04-28T19:54:07.564361,wheel,19005,169.8,89.0,54,4
2023-04-28T19:54:08.050479,crank,52853,194.9,90.1,54,4
